2024/09/09 10:09:24.135968 main.go:69: [MongoDB] Retrieved author with ID: 812519af-578b-4551-b87c-3ca65e17d71a
2024/09/09 10:09:24.138151 main.go:69: [MongoDB] Retrieved author with ID: 7182177d-64f7-471d-ab54-2a621cfc6f79
2024/09/09 10:09:24.140265 main.go:69: [MongoDB] Retrieved author with ID: 22125341-6a09-4ef1-8974-26f400915f14
2024/09/09 10:09:24.141351 main.go:69: [MongoDB] Retrieved author with ID: 1e64ec84-e46e-490f-ad6a-add494d0bfb3
2024/09/09 10:09:24.142645 main.go:69: [MongoDB] Retrieved author with ID: fde6f181-c2af-4d32-9f23-27cdeec64e87
2024/09/09 10:09:24.143751 main.go:69: [MongoDB] Retrieved author with ID: 7e11f061-d97d-45a2-aa9e-d37bba3690f2
2024/09/09 10:09:24.144760 main.go:69: [MongoDB] Retrieved author with ID: 9dbafff1-c6c7-4d63-8551-853ed16ea04d
2024/09/09 10:09:24.145764 main.go:69: [MongoDB] Retrieved author with ID: bc110354-fd50-4130-8475-16ba608f0fe5
2024/09/09 10:09:24.146830 main.go:69: [MongoDB] Retrieved author with ID: 1bdfca67-f03c-48d1-bc5c-bd2dcd84bdb3
2024/09/09 10:09:24.148041 main.go:69: [MongoDB] Retrieved author with ID: ea5947e1-d354-4bfa-b107-bcb2ac390afa
2024/09/09 10:09:24.148823 main.go:69: [MongoDB] Retrieved author with ID: ef5ddbb4-60c4-4818-aec4-117776af3497
2024/09/09 10:09:24.149894 main.go:69: [MongoDB] Retrieved author with ID: 7e63e232-6501-4b5d-9622-7eccff236877
2024/09/09 10:09:24.150930 main.go:69: [MongoDB] Retrieved author with ID: 5e4d62c1-dc85-4548-a31b-b76d98e6512c
2024/09/09 10:09:24.151963 main.go:69: [MongoDB] Retrieved author with ID: f570f7dc-a56e-4b31-80a0-fd44fe4073ae
2024/09/09 10:09:24.152884 main.go:69: [MongoDB] Retrieved author with ID: 1c54ca52-fc2e-4983-b218-28f118580e58
2024/09/09 10:09:24.153849 main.go:69: [MongoDB] Retrieved author with ID: 50a38277-fb3b-4ce5-88b2-7f82b5a77de4
2024/09/09 10:09:24.154883 main.go:69: [MongoDB] Retrieved author with ID: 8c01c62b-1697-46a7-930f-56cdfbba6bdb
2024/09/09 10:09:24.156258 main.go:69: [MongoDB] Retrieved author with ID: af9086fb-3ffa-4d67-b260-43e4cdc40c6e
2024/09/09 10:09:24.157221 main.go:69: [MongoDB] Retrieved author with ID: 948a8a16-84a7-462a-b6c1-9b136fe671c1
2024/09/09 10:09:24.158382 main.go:69: [MongoDB] Retrieved author with ID: 0efeff20-21a1-4b8f-b269-486da02479ca
2024/09/09 10:09:24.159315 main.go:69: [MongoDB] Retrieved author with ID: 48c661ed-e13e-4fbf-94a3-3f5e18b55ec2
2024/09/09 10:09:24.160467 main.go:69: [MongoDB] Retrieved author with ID: 97657d9b-2f15-4e93-80fd-1da9feca663b
2024/09/09 10:09:24.161746 main.go:69: [MongoDB] Retrieved author with ID: 12c5674a-7833-4a06-a807-861ff16f41e3
2024/09/09 10:09:24.162781 main.go:69: [MongoDB] Retrieved author with ID: c2fe12a2-f0ee-4876-98b5-b64b1e342916
2024/09/09 10:09:24.163794 main.go:69: [MongoDB] Retrieved author with ID: 753051f8-7dd2-4e31-849e-106085ea1190
2024/09/09 10:09:24.164669 main.go:69: [MongoDB] Retrieved author with ID: 8245739e-594e-432b-8bef-89adc659177f
2024/09/09 10:09:24.165549 main.go:69: [MongoDB] Retrieved author with ID: 9a7c75e0-9cef-4c67-94d0-340bbd11154d
2024/09/09 10:09:24.166242 main.go:69: [MongoDB] Retrieved author with ID: d13891db-ef67-4504-9fba-6ee45910f6dc
2024/09/09 10:09:24.166868 main.go:69: [MongoDB] Retrieved author with ID: 5591f555-4662-45ec-bb12-9eb7d49cc7e9
2024/09/09 10:09:24.167558 main.go:69: [MongoDB] Retrieved author with ID: f651c7dc-d6f7-46f1-adb4-80a41cbe1ff3
2024/09/09 10:09:24.168525 main.go:69: [MongoDB] Retrieved author with ID: 92c6de5d-5275-471b-b7aa-ee88336a78f6
2024/09/09 10:09:24.169494 main.go:69: [MongoDB] Retrieved author with ID: 19c09fcc-b566-47f8-8ce3-1b7eb286351e
2024/09/09 10:09:24.170447 main.go:69: [MongoDB] Retrieved author with ID: 8fe21019-1420-4aca-81da-ff9c232789a9
2024/09/09 10:09:24.171360 main.go:69: [MongoDB] Retrieved author with ID: 1da3a93c-6ac0-498f-9b83-9d2647b3d14c
2024/09/09 10:09:24.172099 main.go:69: [MongoDB] Retrieved author with ID: 936362dd-f64d-4384-a4a5-6e51f909513e
2024/09/09 10:09:24.172922 main.go:69: [MongoDB] Retrieved author with ID: 55d3e8c8-f907-4304-9ddf-e594e0bf4147
2024/09/09 10:09:24.173984 main.go:69: [MongoDB] Retrieved author with ID: 4e1aed80-dfab-4783-b0bc-cb81cd708801
